Date,Instrument,Side,Quantity,Price,Total Amount,Fees,State,Settlement Date
2025-09-27,AAPL,buy,5,$175.23,$876.15,$0.00,filled,2025-09-29
2025-09-26,TSLA,sell,2,$245.67,$491.34,$0.00,filled,2025-09-28
2025-09-25,SPY,buy,10,$456.78,$4567.80,$0.00,filled,2025-09-27
2025-09-24,BTC,buy,0.1,$43500.00,$4350.00,$0.00,filled,2025-09-24
2025-09-23,NVDA,sell,3,$432.10,$1296.30,$0.00,filled,2025-09-25
2025-09-22,ETH,buy,2,$2456.78,$4913.56,$0.00,filled,2025-09-22
2025-09-21,AMC,buy,50,$12.34,$617.00,$0.00,filled,2025-09-23
2025-09-20,GME,sell,10,$23.45,$234.50,$0.00,filled,2025-09-22
2025-09-19,VOO,buy,8,$345.67,$2765.36,$0.00,filled,2025-09-21
2025-09-18,DOGE,buy,1000,$0.067,$67.00,$0.00,filled,2025-09-18
